city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed,"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2011-2014","% change in the no. of clinics, 2011-2014","% of all U.S. abortions, by state of occurrence, 2014","% of counties without a known clinic, 2014 [2]","% of women aged 15-44 living in a county without a clinic, 2014 [4]","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2014","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of residence, 2014 [1]","Change in the no. of clinics, 2011-2014","No. of abortions, by state of occurrence, 2014 [3]","No. of abortions, by state of residence, 2014 [5]","No. of clinics, 2014"
Santa Barbara,California,91842,34.420831,-119.69819,0,1,0,1,0,1,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Marcos,California,92931,33.143372,-117.166145,0,0,0,1,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Chico,California,90316,39.728494,-121.837478,0,0,0,0,0,0,3,3,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Leandro,California,90712,37.72493,-122.156077,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Newport Beach,California,87127,33.618883000000004,-117.929849,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Whittier,California,87438,33.979178999999995,-118.032844,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Hawthorne,California,88451,33.916403,-118.352575,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Citrus Heights,California,87056,38.707125,-121.28106100000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Livermore,California,88126,37.681874,-121.768009,0,0,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Tracy,California,87075,37.739651,-121.425223,0,0,0,1,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Alhambra,California,85551,34.095287,-118.12701499999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Indio,California,87533,33.720577,-116.215562,0,2,0,2,2,2,2,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Menifee,California,87174,33.697146999999994,-117.185294,0,0,0,1,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Buena Park,California,83270,33.867404,-117.998139,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Hemet,California,83861,33.74752,-116.97196799999999,0,1,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Lakewood,California,81611,33.853627,-118.13395600000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Merced,California,82436,37.302163,-120.482968,1,1,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Chino,California,85595,34.012235,-117.68894399999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Redwood City,California,85288,37.485215000000004,-122.236355,0,0,0,0,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Lake Forest,California,82492,33.646944,-117.686102,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Napa,California,80434,38.297538,-122.28686499999999,0,0,0,1,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Tustin,California,80583,33.742001,-117.82363899999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Mountain View,California,80435,37.386052,-122.083851,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Bellflower,California,78441,33.881682,-118.11701200000002,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Baldwin Park,California,77071,34.085287,-117.960898,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Chino Hills,California,78309,33.989819,-117.73258500000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Alameda,California,78630,37.765206,-122.24163600000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Upland,California,76443,34.09751,-117.64838799999998,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Ramon,California,76134,37.779927,-121.97801499999998,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Pleasanton,California,79510,37.662431,-121.874679,0,0,0,0,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Folsom,California,76375,38.677959,-121.17605800000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Union City,California,74494,37.593392,-122.04383,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Perris,California,74971,33.782519,-117.22864799999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Manteca,California,75448,37.797427,-121.216053,0,0,0,0,0,0,0,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Lynwood,California,71989,33.930293,-118.21146,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Apple Valley,California,72174,34.500831,-117.18587600000001,0,1,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Turlock,California,72292,37.494657000000004,-120.846594,0,0,0,1,0,1,0,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Redlands,California,71035,34.055569,-117.182538,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Milpitas,California,77604,37.432334000000004,-121.899574,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Rancho Cordova,California,71017,38.589071999999994,-121.302728,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Redondo Beach,California,68166,33.849182,-118.38840800000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Yorba Linda,California,67973,33.888504,-117.81325700000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Walnut Creek,California,68910,37.910078000000006,-122.06518200000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Pittsburg,California,69424,38.027976,-121.884681,0,0,0,0,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Palo Alto,California,66853,37.441883000000004,-122.143019,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Davis,California,67666,38.544907,-121.740517,0,0,0,1,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
South San Francisco,California,67271,37.654656,-122.40775,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Camarillo,California,67608,34.216394,-119.037602,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Yuba City,California,66941,39.140448,-121.61691100000002,0,1,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Clemente,California,65526,33.427352,-117.6126,0,0,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Laguna Niguel,California,65806,33.523674,-117.71494399999999,0,0,0,1,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Pico Rivera,California,64218,33.983069,-118.09673500000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Montebello,California,63921,34.016505,-118.113754,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Lodi,California,64596,38.134147999999996,-121.27221899999999,0,0,0,1,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Madera,California,64208,36.961335999999996,-120.060718,0,0,0,0,0,0,0,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Santa Cruz,California,64220,36.974117,-122.030796,0,0,0,1,1,1,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
La Habra,California,62131,33.931859,-117.94613700000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Encinitas,California,62930,33.036986999999996,-117.291982,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Tulare,California,62315,36.207729,-119.347338,1,1,1,1,1,1,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Monterey Park,California,61468,34.062511,-118.122848,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Cupertino,California,60572,37.322998,-122.032182,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Gardena,California,60447,33.888349,-118.30896200000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
National City,California,61060,32.678109,-117.099197,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Rocklin,California,61213,38.790734,-121.23578300000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Petaluma,California,60438,38.232417,-122.636652,0,0,0,0,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Rafael,California,59162,37.973535,-122.53108700000001,0,0,0,0,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Huntington Park,California,59430,33.981681,-118.225072,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
La Mesa,California,60089,32.767829,-117.02308400000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Arcadia,California,58408,34.139728999999996,-118.03534499999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Lake Elsinore,California,61981,33.668077000000004,-117.327262,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Fountain Valley,California,56987,33.709021,-117.954407,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Woodland,California,58567,38.678515999999995,-121.773297,0,0,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Diamond Bar,California,56897,34.028622999999996,-117.810337,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Santee,California,57787,32.838383,-116.97391699999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Eastvale,California,59039,33.952463,-117.584802,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
